number,identifier,category,rationale
795,ASC,NA,Modifier 53 is for professional physician services and would not apply to ASC procedures. Review modifier 73 and 74 to see which is most appropriate.
796,UNVSL,NA,"If a treating practitioner applies surgical dressings as part of a professional service that is billed to Medicare, the surgical dressings are considered incident to the professional services of the health care practitioner and are not separately payable. Claims for these dressings must not be submitted. Claims for the professional service, which includes the dressings, must be submitted to the local carrier or intermediary. If dressing changes are sent home with the beneficiary, claims for these dressings may be submitted. In this situation, use the place of service corresponding to the beneficiarys residence, Place of Service Office (POS=11) must not be used."
797,MCD:CA,NA,CPT codes 97605 thru 97606 (negative pressure wound therapy) are not Medi-Cal benefits. reimbursement for these services is included in the payment for HCPCS code E2402.
798,BCBS:MI,NA,"For BCN behavioral health services, always include licensure level (level of care) modifier (forexample: AM, HA, HO, AJ, TD, HE, AH)."
799,LABS,NA,All UHC claims must be submitted with a valid ordering or referring practitioner for clinical laboratories for ordered tests.
800,RADIO,NA,All Medicare Advantage claims must be submitted with a valid ordering or referring practitioner for imaging centers for ordered imaging procedures.
801,UNVSL,NA,All UHC claims must be submitted with a valid ordering or referring practitioner. Please add referring provider.
802,RADIO,Do not bill x-rays with modifier 50. List separate line items with RT/LT modifiers.,Do not bill x-rays with modifier 50. List separate line items with RT/LT modifiers.
803,ICD:CM,I87.2 has excludes 1 note with I83.1X-I83.2X,I87.2 cannot be billed with I83.1X-I83.2X. Remove I87.2.
804,MEDSV,POS for Home sleep study,"Place of service for G0398, G0399 and G0400 should be 12 (HOME)"
805,LABS,80048 is included in 80069,80048 is included in 80069 and cannot be billed using any modifier. The BMP includes all the same labs performed in the renal function panel. Remove 80048.
806,UNVSL,80048 is included in 80069,Accident date or onset date is required for this payer. Choose Emloyment Related or Auto Accident = Yes. Current type = Injury(Accident). And add the date of injury for Date of Current.
807,UNVSL,80048 is included in 80069,"Subscriber SSN is required when submitting Workers Compensation claim electronically. If SSN is not available, use 999-99-9999 to bypass edit."
808,LABS,Screening versus diagnostic PSA,"84153 should be used instead of G0103 when performed for a medical reason (elevated PSA, BPH, hematuria, Prostate cancer, etc). Please correct CPT."
809,UNVSL,Missing administration code,Review for possible missing drug injection administration code(s).
810,UNVSL,Missing administration code,Injection code is present without a drug. Review chart for drug used. Add drug if clinic supplied.
811,PREVENT,Medicare denial if screening dx is assigned first for 96127,Medicare will not reimburse 96127 if Z13.39 or another screening dx is assigned first. Use other dx if applicable.
812,VAX,NA,"For an encounter for antibody testing that is NOT being performed to confirm a current COVID-19 infection, NOR is a follow-up test after resolution of COVID-19, assign Z01.84, Encounter for antibody response examination."
814,VAX,NA,"For individuals who previously had COVID-19, without residual symptom(s) or condition(s), and are being seen for follow-up evaluation, and COVID-19 test results are negative, assign codes Z09, Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm, and Z86.16, Personal history of COVID-19."
815,VAX,NA,"Also assign code(s) for the specific symptoms or conditions related to the previous COVID-19 infection, if known. Code U09.9 should not be assigned for manifestations of an active (current) COVID-19 infection."
817,ICD:CM,"R00-R99 - Chapter 18: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R63.3 (Feeding difficulties) is an expired code. See R63.30 (Feeding difficulties) or R63.39 (Feeding problem (elderly)(infant).
818,VAX,NA,Add M0201 for Covid vaccine given at the patients home.
820,TELE,NA,"Review payer guidelines to determine if a telehealth modifier is appropriate for the CPT. Codes are not on approved telehealth list, but payer may have different guidelines."
821,E&M,G0425-G0427,"Review CPT vs place of service. Telehealth consultation, emergency department or initial inpatient (G0425-G0427) should be billed with an inpatient, emergency department, or telehealth place of service."
822,E&M,Emergency Department Visits,Review CPT vs place of service. Emergency department visits should be billed with an emergency department place of service.
823,ICD:CM,G50-G59 excludes 1,"M79.2, O26.82*, M54.1* should not be billed with G50*-G59*."
824,GASTRO,Modifier PT/33 with screenings,"Modifier PT/33 should not be used for G0104, G0105, G0106, G0118, G0120, G0121, G0122"
825,GASTRO,Surgical endoscopy includes diagnostic,A surgical Colonoscopy includes a diagnostic Colonoscopy (45378) and should not be billed separately.
826,GASTRO,Surgical endoscopy includes diagnostic,A surgical EGD includes a diagnostic EGD (43235) and should not be billed separately.
827,ICD:CM,NA,"R35.8 requires an additional digit. See R35.81, R35.89."
828,ICD:CM,NA,"M54.5 requires an additional digit. See M54.50, M54.51, M54.59"
829,ICD:CM,NA,P09 requires an additional digit
830,ICD:CM,NA,R05 requires an additional digit
831,ICD:CM,Coding guidelines,Z20.822 should not be billed with current Covid-19 infection U07.1
834,MCD:TN,NA,Providers who have obtained a CLIA Waiver or Provider-Performed Microscopy Procedure accreditation must include the QW modifier for CLIA waived laboratory services when reported on a CMS-1500 claim form in order for the procedure to be evaluated to determine eligibility for benefit coverage.
837,MEDSV,J-code units,Verify units for J-codes
838,ANES,Age limit guidelines,99100 can only be used for patients over 71 years of age or younger than 1
839,ANES,NA,"If a screening colonoscopy turns diagnostic (polypectomy, biopsy, etc), add modifier 33 (PT for Medicare) to 00811 to show screening was intended. If only screening performed, see 00812."
841,MEDSV,95115 with 95117,"95115 and 95117 cannot be billed together. If multiple injections give, only bill 95117."
842,ICD:CM,Unacceptable primary dx,B97 codes should not be billed as first listed dx. Code first the disease classified elsewhere.
843,ICD:CM,Z34.* with O*,Z34.* should not be billed with O* dx codes per excludes 1 note.
844,MCD:GA,Z34.* with O*,Peach State requires POS 99 for 96110 and EP modifier
845,UNVSL,H60-H95 - Chapter 8: Diseases of the ear and mastoid process,H65.03 should be billed instead of H65.01 and H65.02 when condition is bilateral.
846,MCD:TX,NA,"Modifier AM (MD), SA (NP/CNS), TD (Registered Nurse), or U7 (PA) must be submitted with the THSteps medical checkups procedure code to indicate the practitioner who performed the unclothed physical examination during the medical checkup."
847,MCD:TX,NA,Physicians who submit a claim using the physician’s own provider identifier for services provided by anphysician assistant (PA) must submit modifier U7 on each claim detail if the physician does not make a decisionregarding the client’s care or treatment on the same date of service as the billable medical visit
848,UNVSL,NA,UHC will not reimburse 99000/9907X when billed with an E/M code for the same date of service.
849,AUDIO,Auditory System,Modifier 50 is not a valid modifier for 69210
850,VAX,NA,Code the Novavax COVID-19 vaccine admin code 0041A (for the first dose) and 0042A (for the second dose). 0044A (Booster dose - approved for patients 18 years and older).
851,VAX,NA,Vaccine no longer approved for use in the United States. See 91320 for 30 mcg Pfizer tris-sucrose vaccine.
852,VAX,NA,Vaccine no longer approved for use in the United States. See 91319 for 10 mcg Pfizer tris-sucrose vaccine.
853,VAX,NA,Vaccine no longer approved for use in the United States. See 91322 for 50 mcg Moderna vaccine.
854,VAX,NA,Code the Adult Pfizer TRS-SUCR dose (30 mcg) using code 91305 with 0051A-0054A. Vaccine no longer approved for use in the United States
858,OBGYN,Maternity Care and Delivery,Z37.* cannot be used as primary dx.
859,E&M,Mod 25 for E&M and admin code,Modifier 25 may be needed on E/M when billed with vaccine admin code
860,ICD:CM,I00-I99 - Chapter 9:Diseases of the Circulatory System,"I25.82, I25.83 and I25.84 cannot be billed as primary. Dx for the coronary atherosclerosis (I25.1-I25.119, I25.7-I25.799, I25.81-I25.812) should be coded first."
861,UNVSL,G0436/G0437,G0436/G0437 are expired CPT codes. See 99406/99407.
862,RADIO,Intraoperative cholangiography,"Also bill 74300-26, 76301-26 for intraoperative cholangiography when performed."
863,GASTRO,NA,"If colonoscopy was performed as a screening, add modifier 33"
864,GASTRO,NA,Add modifier 33 if a screening colonoscopy was perfomed.
865,GASTRO,NA,"If screening colonoscopy turned into a diagnostic colonoscopy, add modifier PT."
866,BCBS:TN,NA,Use modifier 33 on Flu vaccines if provider does not participate in VFC program
867,RADIO,Bilateral code,"If hip x-rays were performed bilaterally, see CPT 73521 (2 views), 73522 (3-4 views)"
868,ICD:CM,Coding guidelines,J30* (Allergic Rhinitis) with Asthma (J45*) codes to J45.909 or other specified Asthma dx (J45*)
869,UNVSL,Add on 96361,96361 is an add-on code and cannot be billed without 96360.
870,UNVSL,E/M with vaccine admin/commercial,"Append modifier 25 to E/M charge, if supported, when immunization administration is also being billed on the same day.."
871,VAX,NA,"Review billing for COVID-19 specimen collection with 99000/99001- many payers bundle this code. CMS has approved 99211 for specimen collection for new and established patients, check other payors for reimbursement policies."
873,ICD:CM,Bilateral dx coding guidelines,Use bilateral dx I87.313 instead of I87.311 and I87.312
874,UNVSL,Modifier order,"Modifier 26 should always go before laterality modifiers (RT, LT, 50)."
875,UNVSL,Multiple inhalation treatments,Bill 94640 on two lines with modifier 76 on the second charge for repeat treatment
876,UNVSL,New patient E/M codes,Most payers do not allow 2 NEW patient E/M codes. Verify if 9920X should be changed to 9921X.
877,UNVSL,"G0008, G0009,G0010","Use 90460 (ages 18 and under) or 90471/90472 instead of G0008, G0009, G0010 if insurance is not Medicare or a Medicare Advantage plan"
878,UNVSL,NA,UnitedHealthcare Medicare Advantage has established a list of CPT and HCPCS codes along with their appropriate places of service. One or more codes listed on this encounter is inappropriate to bill in POS 11 (Office). **List may be expanded until the end of the PHE changes***
879,MCD:WA,NA,Use modifier CR on COVID-19 tests
880,PREVENT,NA,"When documentation supports that a significant, separately identifiable problem-oriented evaluation and management (E/M) service is rendered, the appropriate code for the E/M service may be reported separately. Append modifier 25 to the service code selected to indicate that a separately identifiable E/M service was provided on the same date of service as the counseling service (9940*)."
881,MCD:WA,NA,Use modifier CR on COVID-19 tests per Coordinated Care.
882,RHC,Medicare Qualifying Visit NOT present,An RHC qualifying visit is not present - bundle with qualifying visit.
883,UNVSL,NA,"UnitedHealthcare Individual Exchange considers CPT code 36416 an integral part of an E&M service when performed on the same date of service by the same provider. When CPT code 36416 is submitted with an E&M service, only the E&M service will be considered for reimbursement. No modifier overrides will exempt CPT code 36416 from bundling into an E&M service."
884,RHC,NA,Railroad (RR) Medicare claims are billed to Medicare Part A following RHC guidelines.
885,UNVSL,NA,Advanced Practice Providers who do not have an NPI number (or are ineligible to bill directly with an NPI) should report non-surgical services appended with modifier SA when the services are submitted by a supervising physician on behalf of the APP using the physician’s NPI number
886,MCD:GA,NA,EPSDT info should be completed for all preventative visits.
887,BCBS:NJ,NA,"An SA modifier should be appended to all codes submitted for non-surgical services rendered by a Physician Assistant (PA), Certified Nurse Midwife (CNM), Clinical Nurse Specialist (CNS), Nurse Practitioner (NP), Advanced Practice Registered Nurse (APRN)"
888,BCBS:SC,NA,Modifier SA: Nurse Practitioner rendering service in collaboration with a physician
889,VAX,NA,"The FDA announced that, due to the high frequency of the Omicron variant, this monoclonal antibody product isn’t currently authorized in any U.S region and may not be administered for treatment or post-exposure prevention of COVID-19 under the EUA until further notice by the FDA."
891,RHC,NA,RHC Claims for Telehealth Services should be billed with G2025. Modifier 95 is optional - not required.
892,VAX,NA,Review place of service. M0201 is for the additional payment for administering the COVID-19 vaccine to certain Medicare patients in their homes.
893,VAX,NA,"Review patients age vs CPT. 90657 is Influenza virus vaccine, trivalent (IIV3), split virus, 6–35 months dosage."
894,DME,NA,"Manual wheelchair bases may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
895,DME,NA,DMERC requires Ordering Provider Name - Add as the referring provider.
896,DME,NA,"Wheelchair seating may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
897,DME,NA,"Knee orthoses may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
898,DME,NA,"Therapeutic Shoes for Persons with Diabetes may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
899,DME,NA,"Nebulizers may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
900,DME,NA,"Oral Appliances for Obstructive Sleep Apnea may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
901,DME,NA,"Orthopedic Footwear may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY or GY. Review payer guidelines."
902,DME,NA,"Pressure Reducing Support Surfaces may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
903,DME,NA,"Ankle-Foot/Knee-Ankle-Foot Orthosis may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
904,DME,NA,Ankle-Foot/Knee-Ankle-Foot Orthosis may require the use of LT - Left Side or RT - Right Side modifier.
905,DME,NA,Orthopedic Footwear may require the use of LT - Left Side or RT - Right Side modifier.
906,DME,NA,"Automatic External Defibrillators may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. Also, see also modifier EY, GA, GZ, or KF. Review payer guidelines."
907,DME,NA,"Pressure Reducing Support Surfaces - Group 3 may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
908,DME,NA,"Positive Airway Pressure (PAP) Devices for the Treatment of Obstructive Sleep Apnea may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
909,DME,NA,"Commodes may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
910,DME,NA,"Power Mobility Devices may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
911,DME,NA,"Walkers may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
912,DME,NA,"Wheelchair Options/Accessories may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. See also modifier EY, GA, GY, GZ, KC, or RB. Review payer guidelines."
913,DME,NA,"Patient Lifts may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
914,DME,NA,"Transcutaneous Electrical Nerve Stimulators (TENS) may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
915,DME,NA,"Hospital Beds And Accessories may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GK, GL, or GZ. Review payer guidelines."
916,DME,NA,Therapeutic Shoes for Persons with Diabetes may require the use of LT - Left Side or RT - Right Side.
917,DME,NA,Codes for the rental of oxygen equipment should be billed once per month. Ensure patient has configured encounters at the duration of the rental.
918,DME,NA,"Oxygen and Oxygen Equipment may require the usage of the N1, N2, N3 or KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GY, or GZ. Review payer guidelines."
919,DME,NA,"Payment for oxygen contents (stationary and/or portable) may be included in the allowance for stationary equipment (E0424, E0439, E1390, E1391). The appropriate modifier for the prescribed amounts of stationary oxygen should be used (QA, QB, QE, QF, QG, QH, QR)."
920,DME,NA,"The appropriate modifier for the prescribed amounts of portable oxygen should be used - (codes E0431, E0433, E0434, E1392, or K0738)."
921,DME,NA,"Negative Pressure Wound Therapy Pumps may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, or GZ. Review payer guidelines."
922,DME,NA,"A CPT is present that may be a rental item. Review and determine if the product is purchased and use a purchase modifier. If the product is rented, be sure to determine the rental period, create configured encounters, and apply modifier RR."
923,DME,NA,"Modifiers NU, RR, UE, KM, KN, AU, AV, AW, KE, KF, KL, KC, KU, QB, QF should be listed in the 1st modifier spot."
924,DME,NA,"A capped rental item is present. If item is a rental and not a purchase, use monthly rental modifiers (KH, KI, KJ, or KR) in addition to modifier RR. Be sure item is listed in the patients configured encounters."
925,DME,NA,"Review DME product for appropriate purchase/rental modifier (NU, UE, NR, RR)."
926,DME,NA,"A CPT is present that United Healthcare may consider eligible for purchase or rental. Review and determine if the product is purchased and use a purchase modifier. If the product is rented, be sure to determine the rental period, create configured encounters, and apply modifier RR. For rentals adjust the dates TO and FROM field to represent the calendar month dates of rental."
927,UNVSL,Corpus Uteri Procedures,"IUD insertion billed without charge for IUD. Was IUD provided by office? If so, charge should be added."
928,UNVSL,Corpus Uteri Procedures,Charge for IUD billed without charge for insertion (58300)
929,DME,NA,"Hospital Beds And Accessories may require the usage of the KX modifier to identify that the requirements identified in the medical policy have been met. If requirements were not met, see also modifier EY, GA, GK, GL, or GZ. Review payer guidelines."
930,VAX,NA,"Humana Medicare requires a provider to submit a charge for a telehealth service with the place of service (POS) code that would have been reported had the service been furnished in person. In addition, Humana requires a provider to report a telehealth or other virtual service with modifier 93, 95 or modifier FQ as applicable, to identify that the service was furnished via telecommunications-based technology."
931,RHC,RHC/FQHC,"Bill G0511 (CCM, PCM, general BHI) in place of 99490, 99487, 99484, 99491, 99424, 99426. Bill on UB with Rev Code 0521."
932,RHC,RHC/FQHC,G0511/G0512 should be billed on a UB with Rev code 0521. Do not use CG modifier.
933,VAX,NA,Vaccine no longer approved for use in the United States. See 91318 for 3 mcg Pfizer vaccine.
934,VAX,NA,Vaccine no longer approved for use in the United States. See 91318 for 3 mcg Pfizer vaccine.
935,E&M,NA,Claim will deny reimbursement for E&M services billed with CPT code 99211 appended with modifier 25 when billed alone or with another procedure code on the same date of service.
936,MCD:SC,90461,VFC vaccines are billed with administration code 90460 only - No components added.
937,AUDIO,NA,Assign H61.2X to 69209/69210 or other supporting dx for the removal of impacted cerumen.
938,UNVSL,NA,"Per the UHC Individual Exchange, when 36416 is submitted with 36415, CPT code 36415 is the onlyvenipuncture code considered eligible for reimbursement."
939,DME,NA,"UnitedHealthcare utilizes the PTP durable medical equipment (DME) edits developed by Medicaid and will not separately reimburse E0562 and A7046. Claim rejections will occur unless under appropriate circumstances, a designated modifier may be allowed to identify distinct services."
940,UNVSL,NA,"Enter the descripion of the service in the NOC section of the code unlisted code. For unlisted drug codes, include NDC #, dose and route of administration. Some payers may request records."
941,UNVSL,NA,A unlisted procedure code is present. Add a description of the procedure performed in the NOC section of the CPT.
942,RADIO,NA,Review coding vs age of the patient. The typical age range for 73092 is 0 to 11 Months.
943,UNVSL,NA,"HCPCS code J1094 (Injection, dexamethasone acetate, 1 mg) is no longer manufactured and has an MUE value of “0.” Verify if J1100 (Injection, dexamethasone sodium phosphate, 1 mg) was given."
944,BCBS:GA,NA,BCBS/Anthem requires NDC info on claim
945,INTEG,NA,"Review Coding for Systemic Conditions: All claims for routine foot care based on the presence of a systemic condition should have a billing indicator of Q7, Q8 or Q9 to be considered for payment. Q7 - One class A findingQ8 - Two class B findingsQ9 - One class B and two class C findings"
946,MCD:GA,90461,"GA Medicaid and CMOs do not recognize 90461. Bill 90460 x the number of vaccines given. If over 4 vaccines are given, use 90472 for each addition vaccine over 4."
947,VAX,NA,Vaccine is no longer authorized for use in the United States. See 91322 for 50 mcg Moderna vaccine.
948,MCD:PA,NA,Review claim format. Rural Health Clinic (RHC) encounters are billed on a CMS-1500 claim form.
949,MCD:PA,NA,"Review place of service. Rural Health Clinic (RHC) encounters can only be billed with 72 – Rural Health Clinic, 12 – Home, 21 – Inpatient Hospital, or 99 – Other (Community) POS code."
950,MCD:PA,NA,Add T1015 and bundle services into the total for this code. T1015 should be the primary listed code and all other codes should be billed at $0.00.
951,MEDSV,NA,The AT modifier is required under Medicare billing to receive reimbursement for CPT codes 98940-98942. AT modifier is used only when chiropractors bill for active/corrective treatment (acute and chronic care). Do not use modifier AT for maintenance therapy.
952,MEDSV,NA,The initial treatment or the date of exacerbation of the existing condition must be included on a claim for chiropractic services. Add the date in the claims details section field Date of Current and First Date. Also add 454 Initial Treatment to the field First Type.
953,MEDSV,NA,Modifier 59 should not be appended to 97124/97140 if performed on the same body area as the manipulation services
954,MEDSV,Highmark BCBS,Moderate to High Complexity E/M codes 99214/99215 are not allowed on same day as CMT 98940-98943 when performed by the same provider.
955,MEDSV,Highmark BCBS,Moderate to High Complexity E/M codes 99214/99215 are not allowed on same day as 97161-97172 when performed by the same provider.
956,MCD:GA,GA Medicaid,Only assign the routine visit Z-code to the preventative E/M. Medicaid will deny if any other dx codes are assigned.
957,ICD:CM,Q03 Excludes 1 note,"Q03 has an excludes 1 note with Q07.0-Q07.03, G91-G91.9, P37.1 and Q05.0-Q05.4. Q03 cannot be billed with any of these other dx codes. Remove Q03."
958,MCD:TX,NA,"For claims that are submitted with an immunization administration procedure code and a preventive E/M visit, providers may append modifier 25 to the preventive E/M visit procedure code to identify a significant, separately identifiable E/M service that was rendered by the same provider on the same day as the immunization administration. Documentation that supports the provision of a significant, separately identifiable E/M service must be maintained in the client’s medical record and made available to Texas Medicaid upon request."
959,RHC,NA,Do not report Category II Performance Measure codes on UB-04. Split the reporting codes and bill them on a 1500 claim form.
960,ORTHO,NA,"If treating a bimalleolar fracture, 27814 should be billed instead of 27769 and 27792 when performed on the same limb."
961,MEDSV,NA,"Modifiers RT, LT and 50 are not appropriate for J-codes unless payer specific guidelines require their use."
962,ORTHO,NA,"27792, 27766 AND 27767/27768 should be coded using CPT 27822 (Open treatment of trimalleolar ankle fracture, includes internal fixation, when performed, medial and/or lateral malleolus; without fixation of posterior lip) when treating a trimalleolar fracture without fixation of the posterior malleolus. Separate coding of each individual fracture is not appropriate."
963,ORTHO,NA,A diagnostic arthroscopy (29870) is always included in a surgical arthroscopy and should not be billed separately.
964,MCD:GA,NA,CPT 90378 for Synagis should be billed with DX Z29.11 and admin code 96372. Use POS 11. Do Not use EP modifier.
965,LABS,NA,G0103 should be used instead of 84153 when a PSA is performed as a screening without symptoms or disease present.
966,MCD:GA,Georgia Medicaid,Assign only dx Z00.XX or Z13.41 (for autism screening) for 96110. Remove all other dx code assignments.
967,MCD:GA,TCM Georgia Medicaid/Medicaid CMO,TCM not covered by Medicaid/Medicaid CMOs. Verify with provider if office visit E/M should be billed instead.
968,MCD:GA,Covid vaccines Georgia Medicaid/Medicaid CMO,Do NOT use POS 99 or EP modifier for Covid vaccines and admin codes.
969,GASTRO,Covid vaccines Georgia Medicaid/Medicaid CMO,"82270 is used for colorectal neoplasm screening and is not normally ordered for children or adults under 45 years of age. If testing was for other reasons besides a neoplasm screening, please see 82272."
970,TELE,NA,"Per Cigna commercial Virtual Care guidelines, bill telehealth claims with POS 02 and modifier 93, 95, GT or GQ. Do not use POS 10."
971,ICD:CM,ICD-10-CM Code Section (B37-B37.9),B37.3 requires an additional digit. See B37.31 (Acute) or B37.32 (Chronic).
972,VAX,ICD-10-CM Code Section (B37-B37.9),"Code the Sanofi Pasteur Covid Booster, 5 mcg admin (0104A). For individuals 18 year and older."
973,VAX,NA,Vaccine is no longer authorized for use in the United States. See 91321 for 25 mcg Moderna vaccine.
974,VAX,NA,Vaccine is no longer authorized for use in the United States. See 91320 for 30 mcg Pfizer vaccine.
975,VAX,NA,No longer approved for use in the United States as of 9/11/2023. Code will be deleted 11/1/2023. Please verify vaccine given.
976,VAX,NA,No longer approved for use in the United States.See 91321 for Moderna 25 mcg vaccine. Code will be deleted 11/1/2023.
977,VAX,NA,Vaccine is no longer authorized for use in the United States. See 91319 for 10 mcg Pfizer vaccine.
978,UNVSL,NA,"Report 96375 (for each IVP of a different drug) instead of 96374 with 96360 when IV hydration is the primary service. Do not report 96374 with 96360 unless the IVP was given using a separate IV line. If two different IV sites, report 96374 with modifier 59."
979,UNVSL,NA,"Report 96375 (for each IVP of a different drug) with 96365 when IV infusion, for therapy, prophylaxis, or diagnosis is the primary service. Do not report 96374 with 96365 unless the IVP was given using a separate IV line. If two different IV sites, report 96374 with modifier 59."
980,UNVSL,NA,Report 96374 for the first IVP and 96375 for each additional IVP of a different drug when not also billing for infusions during the same encounter.
981,BCBS:TX,NA,"Procedure code 96127 is only reimbursable at the preventive level when billed with a diagnosis of Z00.129, Z13.31, Z13.32, Z13.39, Z13.41, or Z13.42. If not preventative, assign corresponding medical dx."
982,ORTHO,NA,"Effective November 1, 2022, Aetna® will no longer consider 20985 or 0054T for separate reimbursement. The use of computer-assisted surgical navigation is consideredintegral to the performance of the procedure."
983,PREVENT,NA,"Medicare only allows a preventative/routine dx for G0402, G0438 and G0439 and some Medicare allowed screening tests. Do not assign Z00.XX, Z1X, Z01.411, Z01.419, Z02.89 to any other CPT codes and do not bill as a primary dx or claim may deny as routine."
984,E&M,NA,99218-99220 are expired codes. See CPT 99221-99223.
985,E&M,NA,99217 is an expired code. See CPT 99238-99239.
986,E&M,NA,99224-99226 are expired codes. See CPT 99231-99233.
987,E&M,NA,99241 is an expired code. See CPT 99242.
988,E&M,NA,99251 is an expired code. See CPT 99252.
989,E&M,NA,99324-99328 are expired codes. See CPT 99341-99345.
990,E&M,NA,99318 is an expired code. See CPT 99307-99310.
991,E&M,NA,"99339/99340 are expired codes. See CPT 99437, 99491, 99424, 99425."
992,E&M,NA,99343 is an expired code. See CPT 99341-99345.
993,E&M,NA,99354/99355 are expired codes. See CPT 99417
994,E&M,Prolonged Inpt/Outpt,99356/99357 are expired codes. See CPT 99418.
995,MCD:LA,T1015,Use T1015 as the first listed CPT code with CPT codes listed as informational codes.
996,MCD:LA,POS/claim type,RHC office claims are billed with POS 72 on 1500 claim form.
997,MCD:LA,T1015-EP,"T1015-EP should be billed as the first listed CPT for all EPSDT preventative visits, screenings and vaccines. Keep all CPTs on claim. Bill on a HCFA/1500."
998,MCD:LA,NA,Long-acting reversible contraceptive devices will be reimbursed in addition to the T-code. Report both the insertion CPT and the J-code (if supplied by office)
999,E&M,NA,99334-99337 are expired codes. See 99347-99350.
1000,GASTRO,NA,49560 is an expired code. See CPT 49591-49618.
1001,GASTRO,NA,"49568 (implantation of mesh or other prosthesis) is an expired code. To report, use appropriate CPT that includes the mesh placement. See 49591-49596, 49600, 49605, 49606, 49610-49611, [49613, 49614, 49615, 49616, 49617, 49618]"
1002,BCBS:MS,NDC requirement,"BCBS of MS requires NDC information for 96372. CPT 96372 will need to be listed separately with the appropriate NDC added for each admin. If multiple meds given in 1 injection, list additional NDC numbers in the NOC section."
1003,GASTRO,K30 Excludes 1,"F45.8, R10.13, R12.13 should not be billed with K30 per Excludes 1 guidelines. K30 should be the only dx billed."
1004,AUDIO,NA,"An E&M service on the same day as removal of impacted cerumen may not be billed unless it represents a significant, separately identifiable service on the same day. Per CMS guidelines, if visit was for the impacted cerumen only, E/M should not be billed in addition to 69209/69210."
1005,BCBS:TN,Gestational age required,Payer requires ICD-10 code for Gestational age (Z3A) on claim. Not a valid primary dx.
1006,MCD:CA,80050 Medi-Cal,The General Health Panel (80050) is not a Medi-Cal benefit. Bill components of the panel individually.
1007,UNVSL,Prolonged Inpt/Outpt E/M Medicare,"Report G0316 to Medicare instead of 99418. List separately in addition to CPT codes 99223, 99233, and 99236 for each additional 15 minutes. Do NOT report G0316 for less than 15 minutes."
1008,UNVSL,99418,"99418 should be billed with 99223, 99233, 99236, 99255, 99306, 99310"
1009,UNVSL,99417,"99417 should be billed with 99205, 99215, 99245, 99345, 99350, 99483"
1010,ICD:CM,Unspecified Site/lLaterality DX,Please review unspecified site/laterality dx code. Most payers will deny claims if one of these dx codes are present on the claim and/or assigned to a CPT code.
1011,ICD:CM,Unspecified Site/lLaterality DX,Please review unspecified site/laterality dx code. Most payers will deny claims if one of these dx codes are present on the claim and/or assigned to a CPT code.
1012,TELE,Medicare Mod 93,CPT is not on Medicares approved list of Audio Only codes
